#         patch                     x                        y                        z            
  0.0000000000000000e+00  -8.2180963651919903e-01  -5.6766723512407591e-01  -4.8814254995532776e-02
  1.0000000000000000e+00  -9.6959080348183291e-01  -2.4404749005167070e-01   1.8289242820125458e-02
  2.0000000000000000e+00  -8.0467174837470512e-01  -4.7286756849318506e-01   3.5902596011282834e-01
  3.0000000000000000e+00  -9.2208069712169305e-01  -1.0868737214145299e-01   3.7142192064087726e-01
  4.0000000000000000e+00  -6.4384633070727881e-01  -7.5787429733923706e-01   1.0530171825440859e-01
  5.0000000000000000e+00  -5.1332012443455122e-01  -7.5152807545030431e-01   4.1437664227180881e-01
  6.0000000000000000e+00  -3.4728820925116077e-01  -9.2443568396791409e-01   1.5751052638441920e-01
  7.0000000000000000e+00  -1.0832047113002824e-01  -9.0889276264967211e-01   4.0271655235067694e-01
  8.0000000000000000e+00  -7.9910794880555525e-01   4.7856590438489127e-01  -3.6386970376227967e-01
  9.0000000000000000e+00  -9.9118233008003653e-01   1.3179105063616647e-01   1.3737085182993831e-02
  1.0000000000000000e+01  -8.9190820801364457e-01   2.6297259244279575e-01   3.6789287041447871e-01
  1.1000000000000000e+01  -8.7077859502511945e-01   4.9136972338000395e-01   1.7333014496548081e-02
  1.2000000000000000e+01  -6.2013482031586198e-01   7.8302033995726872e-01   4.8082760372264929e-02
  1.3000000000000000e+01  -7.2004281700458228e-01   5.8580010471738453e-01   3.7199002539477694e-01
  1.4000000000000000e+01  -4.2334474728598509e-01   8.1409531229787313e-01   3.9752741721797508e-01
  1.5000000000000000e+01   7.0772332523731629e-01  -7.0620931448693158e-01  -1.9902237234393792e-02
  1.6000000000000000e+01   9.0056106798036262e-01  -4.2453413530810047e-01  -9.3597707216961409e-02
  1.7000000000000000e+01   9.9161261118188293e-01  -5.4125135451950586e-02  -1.1736651591214450e-01
  1.8000000000000000e+01   9.7757031585491427e-01  -1.2717523394303804e-01   1.6787714981752822e-01
  1.9000000000000000e+01   8.1717170588269250e-01  -5.0337112373990445e-01   2.8079870884602764e-01
  2.0000000000000000e+01   8.6882045597061952e-01  -2.1464341268102999e-01   4.4618294530343261e-01
  2.1000000000000000e+01   8.9877466728879518e-01   1.5524193924665253e-01   4.1000492404220540e-01
  2.2000000000000000e+01   1.9696804153967759e-01   8.9213755080921520e-01  -4.0656387081018291e-01
  2.3000000000000000e+01   5.6216317978714647e-01   7.4856978487476034e-01  -3.5159043852778393e-01
  2.4000000000000000e+01   9.1496710000914128e-01   2.2430218954877976e-01  -3.3544557481726545e-01
  2.5000000000000000e+01   7.9604860374018604e-01   5.0910644066600952e-01  -3.2728772136407308e-01
  2.6000000000000000e+01   9.5276320160821637e-01   3.0046956064309271e-01   4.4275555199321526e-02
  2.7000000000000000e+01   7.9768426600132825e-01   4.8291159395709804e-01   3.6124258358579098e-01
  2.8000000000000000e+01   4.2293373704733389e-01   8.9925006796004325e-01  -1.1169766936258972e-01
  2.9000000000000000e+01   7.6463998826297808e-01   6.4440170578189238e-01  -8.4929343916127480e-03
